Artist,Attendance,Gross,Bands in Town
Florence + The Machine,"11,412","$734,589.00",6
KISS,"11,341","$1,208,924.00","11,917"
Carrie Underwood,"11,338","$864,129.00","37,047"
Liam Gallagher,"11,291","$653,477.00",133
Pablo Alborán,"11,192","$721,084.00",669
Olly Murs,"11,143","$506,762.00","4,373"
Blackpink,"10,923","$1,508,107.00",831
Marc Anthony,"10,901","$1,153,103.00","8,033"
Lynyrd Skynyrd,"10,889","$618,002.00","17,569"
Flight Of The Conchords,"10,699","$736,111.00","2,139"
The Lumineers,"10,689","$593,621.00","17,304"
Train,"10,679","$476,198.00","20,596"
Vetusta Morla,"10,666","$433,063.00",34
Bad Bunny,"10,619","$858,626.00","3,593"
Keith Urban,"10,617","$763,642.00","23,765"
Lil Wayne,"10,430","$564,908.00","58,351"
My Morning Jacket,"10,390","$666,877.00","3,406"
Widespread Panic,"10,325","$718,286.00","2,996"
Paul Kelly,"10,320","$761,486.00",39
Kelly Clarkson,"10,309","$648,773.00","23,467"
Blink-182,"10,259","$564,842.00","30,849"
Mr. Bungle,"10,221","$153,465.00","1,026"
David Guetta,"10,173","$650,996.00","25,988"
Faith Hill,"10,146","$789,394.00","7,277"
Miranda Lambert,"10,135","$612,580.00","27,573"
Tame Impala,"10,019","$522,650.00","8,792"
Nick Cannon,"10,006","$530,407.00",204
Ben Nicky,"10,001","$377,324.00",132
Jamiroquai,"9,944","$666,544.00","2,445"
50 Cent,"9,916","$698,787.00","19,466"
Pride & Joy - The Marvin Gaye Musical,"9,815","$568,012.00",
Stevie Wonder,"9,807","$1,327,615.00","9,291"
Brad Paisley,"9,803","$425,982.00","26,515"
Eddie Vedder,"9,561","$926,018.00","5,804"
Wiz Khalifa,"9,507","$229,984.00","45,779"
Marshmello,"9,453","$410,240.00","6,738"
Kesha,"9,426","$356,863.00","34,025"
Tim McGraw,"9,417","$743,859.00","30,136"
Brooks & Dunn,"9,390","$1,199,994.00","8,147"
The Chainsmokers,"9,306","$528,372.00","16,026"
Nine Inch Nails,"9,292","$844,759.00","14,458"
Massive Attack,"9,281","$569,666.00","3,521"
Rob Zombie,"9,232","$342,578.00","15,835"
Luke Combs,"9,225","$363,999.00","6,668"
Macklemore,"9,214","$397,201.00","19,790"
Weezer,"9,171","$374,789.00","22,387"
J. Cole,"9,129","$733,161.00","29,781"
Cardi B,"9,028","$890,381.00","9,320"
Lana Del Rey,"8,999","$662,543.00","28,724"
Gwen Stefani,"8,934","$1,222,217.00","13,081"
Alan Jackson,"8,911","$586,993.00","12,455"
The Black Keys,"8,882","$892,042.00","21,517"
Janet Jackson,"8,851","$908,631.00","7,234"
Breaking Benjamin,"8,787","$352,980.00","23,124"
Mark Knopfler,"8,769","$699,119.00","1,141"
Heart,"8,755","$533,958.00","7,790"
Jack Johnson,"8,753","$424,482.00","23,983"
Skrillex,"8,684","$589,005.00","30,924"
Leningrad,"8,671","$403,601.00",
Kylie Minogue,"8,665","$784,692.00","1,961"
Vulfpeck,"8,607","$404,934.00","1,080"
The Script,"8,558","$507,925.00","14,477"
G-Eazy,"8,500","$287,912.00","14,099"
Bob Weir,"8,484","$968,657.00","2,051"
Logic,"8,464","$336,055.00","12,293"
Morat,"8,425","$311,841.00",246
Five Finger Death Punch,"8,424","$414,732.00","19,738"
Jon Stewart,"8,334","$773,851.00",19
Godsmack,"8,319","$346,264.00","14,811"
The Chemical Brothers,"8,265","$468,005.00","2,371"
Dave Chappelle,"8,264","$751,457.00",221
Goo Goo Dolls,"8,242","$327,271.00","13,207"
Hans Zimmer,"8,220","$588,854.00","2,721"
Paloma Faith,"8,210","$482,129.00",616
The World of Hans Zimmer,"8,176","$547,610.00",0
Avenged Sevenfold,"8,104","$435,075.00","25,040"
Lorde,"7,908","$501,451.00","23,552"
Noel Gallagher's High Flying Birds,"7,887","$488,242.00",481
Joe Rogan,"7,801","$457,811.00","1,779"
Kasabian,"7,784","$470,172.00","1,188"
Orelsan,"7,769","$330,945.00",47
Caifanes,"7,737","$347,706.00",246
Steps,"7,679","$421,694.00",83
Chris Young,"7,617","$316,138.00","13,056"
Daryl Hall & John Oates,"7,610","$545,646.00","7,393"
Van Morrison,"7,603","$1,235,192.00","6,313"
Pixies,"7,599","$311,841.00","7,503"
El Tri,"7,582","$161,929.00",126
Pentatonix,"7,547","$384,817.00","11,844"
Tipper,"7,543","$489,200.00","1,005"
MK,"7,533","$399,670.00",343
Lionel Richie,"7,515","$788,670.00","4,469"
Little Big Town,"7,513","$406,646.00","10,912"
Nickelback,"7,507","$433,123.00","29,999"
Reba McEntire,"7,498","$656,825.00","7,698"
Korn,"7,490","$412,208.00","23,327"
Slayer,"7,465","$423,034.00","10,274"
OneRepublic,"7,460","$593,030.00","27,667"
George Ezra,"7,454","$340,483.00","3,288"
Fall Out Boy,"7,448","$404,131.00","39,462"
Odesza,"7,436","$361,190.00","5,576"
Lenny Kravitz,"7,422","$467,230.00","7,241"
"Tyler, The Creator","7,364","$355,953.00","19,042"
Marilyn Manson,"7,347","$285,598.00","14,193"
Jess Glynne,"7,325","$313,083.00","1,558"
Fatboy Slim,"7,315","$381,013.00","1,972"
Angele,"7,290","$243,329.00",65
Dierks Bentley,"7,263","$382,183.00","18,522"
Thirty Seconds To Mars,"7,253","$371,285.00","13,781"
Evanescence,"7,244","$315,821.00","23,560"
Nicki Minaj,"7,217","$537,425.00","30,247"
Kygo,"7,170","$402,698.00","5,596"
Jack Whitehall,"7,165","$396,000.00",7
M.C. Hammer,"7,139","$257,071.00","1,002"
