Artist,Attendance,Gross,Bands in Town
Tamia,648,"$22,657.00","1,951"
Martha Reeves & The Vandellas,647,"$29,843.00","497,354"
Jedi Mind Tricks,646,"$16,670.00","1,291"
Suzanne Vega,646,"$27,812.00",532
Sango,645,"$13,629.00",545
Orville Peck,644,"$12,339.00",252
Best Coast,643,"$14,085.00","2,415"
Chelsea Grin,643,"$12,911.00","5,576"
Mahalia,643,"$16,788.00",0
Natalie Merchant,643,"$34,856.00","1,397"
Pvris,643,"$18,194.00","497,354"
Steve-O,643,"$26,585.00",73
The Motet,643,"$15,938.00",543
Bad Sounds,642,"$13,613.00",20
Glenn Beck,641,"$43,912.00",19
Spin Doctors,641,"$13,936.00","1,294"
Stephen Lynch,641,"$21,788.00",538
Madison Beer,640,"$15,845.00","1,814"
Emancipator,639,"$14,636.00","1,121"
Surfaces,638,"$9,339.00",739
Yola,638,"$14,718.00",57
Downlink,636,"$14,083.00","1,429"
Senses Fail,636,"$13,951.00","5,738"
Buckethead,635,"$16,256.00","1,011"
Cavetown,635,"$12,304.00","1,355"
Hudson Taylor,635,"$15,451.00",174
Idles,635,"$12,122.00",140
Waxahatchee,634,"$14,448.00",599
Frankie Quinones,633,"$16,704.00","497,354"
Panda Bear,633,"$13,971.00","1,145"
Flight Facilities,632,"$18,848.00","2,980"
Palaye Royale,632,"$14,204.00",904
The PettyBreakers - Tom Petty Trib.,632,"$11,005.00","497,354"
Turkuaz,632,"$16,964.00",391
John Newman,631,"$14,672.00","2,225"
Mac Powell,631,"$20,655.00",304
Meute,631,"$12,146.00","497,354"
Shirley Caesar,631,"$30,435.00",133
The Winery Dogs,631,"$28,594.00",836
Aldous Harding,630,"$14,195.00",49
All That Remains,630,"$15,396.00","8,222"
Marc Rebillet,630,"$10,660.00",162
Dessa,629,"$12,653.00",248
Peter Doherty,629,"$19,714.00",0
Buckcherry,628,"$16,431.00","6,298"
Craig Robinson,628,"$17,815.00",26
Jukebox The Ghost,628,"$14,723.00","497,354"
Nina Conti,628,"$23,281.00",0
Pam Tillis,628,"$28,261.00",570
Skid Row,628,"$21,463.00","3,556"
Rita Rudner,627,"$35,641.00",3
Twin Peaks,627,"$15,835.00",573
Comethazine,626,"$14,913.00","497,354"
Melvin Seals & JGB,626,"$18,388.00",74
Rebel Souljahz,626,"$16,176.00",142
Kyle Emerson,625,"$15,625.00",1
Take Me To The River,625,"$26,695.00",5
Lloyd,624,"$20,358.00","3,688"
Regina Belle,624,"$29,300.00",198
John Waters,623,"$28,112.00",10
Kurt Elling,623,"$36,899.00",115
Richard Thompson,623,"$29,503.00",346
Mashrou Leila,622,"$20,323.00","497,354"
Fit For A King,621,"$13,110.00","2,646"
Los Campesinos,621,"$13,853.00",523
The Heavy,621,"$14,502.00","1,115"
Animals As Leaders,619,"$16,492.00","497,354"
David Grisman,619,"$32,747.00",192
Lovelytheband,619,"$11,443.00","497,354"
Toadies,618,"$15,671.00","1,486"
Gwar,617,"$16,798.00","2,750"
Maoli,617,"$11,122.00",107
MJ116,617,"$22,735.00",1
Dwele,616,"$31,229.00",560
Katatonia,615,"$19,008.00",788
Lil Xan,615,"$15,792.00","1,782"
Noah Kahan,615,"$12,178.00",254
VNV Nation,615,"$19,533.00",936
Willaris. K,615,"$7,788.00",5
Bryce Vine,614,"$13,236.00","1,025"
Jack & Jack,614,"$15,169.00","4,064"
Boyce Avenue,613,"$26,506.00","4,528"
Mallrat,613,"$11,878.00",95
Lady Leshurr,612,"$19,069.00",571
Vicente Garcia,612,"$33,842.00",200
Poco,611,"$24,107.00",461
Deaf Havana,610,"$15,128.00",241
Nada Surf,610,"$15,570.00",861
Puddles Pity Party,610,"$25,073.00",406
Fat White Family,609,"$12,162.00",41
Randy Bachman,609,"$25,080.00",490
Drezo,608,"$17,200.00",235
Son Volt,608,"$14,610.00",507
Droeloe,607,"$11,159.00",201
Avatar,606,"$13,517.00",988
Louis Futon,606,"$9,651.00",371
Marsha Ambrosius,606,"$26,825.00","2,351"
SG Lewis,605,"$17,740.00",389
The Fabulous Thunderbirds Feat. Kim Wilson,605,"$24,606.00","497,354"
Tiffany Young,605,"$24,227.00",62
B. Simone,604,"$19,340.00",22
Beach Fossils,604,"$13,103.00","1,798"
Capyac,604,"$9,481.00",26
Elvin Bishop,604,"$32,387.00",589
Goodie Mob,604,"$28,361.00",838
Patty Griffin,604,"$28,161.00",952
The Robert Cray Band,604,"$29,417.00","497,354"
JpegMafia,603,"$12,845.00","497,354"
Poncho Sanchez,603,"$27,270.00",129
We Came As Romans,603,"$13,590.00","10,786"
Christian Martin,602,"$13,724.00",125
"Danny Seraphine ""Take Me Back To Chicago""",602,"$21,738.00","497,354"
Mother's Finest,602,"$16,960.00",106
And That's Why We Drink,601,"$16,336.00","497,354"
Head For The Hills,601,"$15,260.00",22
Little Simz,601,"$12,749.00",202
Robert Glasper,601,"$29,775.00",812
Bayside,600,"$14,775.00","3,508"
Graace,600,"$6,213.00","497,354"
KIAN,600,"$9,491.00",9
Shlump,600,"$2,428.00",214
The Bouncing Souls,600,"$14,954.00","497,354"
Tim Heidecker,600,"$19,800.00",24
Wax Motif,600,"$10,294.00","497,354"
Cameron Esposito,599,"$16,645.00",14
Cole Escola,599,"$10,650.00",0
Half*alive,599,"$12,288.00","497,354"
Infected Mushroom,599,"$16,035.00","1,767"
Kentucky HeadHunters,599,"$21,444.00","497,354"
Paul Reiser,599,"$24,063.00",6
The Soul Rebels,599,"$14,121.00",515
AC Slater,598,"$14,162.00",537
GoGo Penguin,598,"$15,923.00",71
Mudhoney,598,"$14,862.00",547
Ramsey Lewis,598,"$30,964.00",198
JP Cooper,597,"$13,578.00",389
Kimbra,596,"$16,183.00","1,864"
Kishi Bashi,596,"$15,480.00",604
Ron Funches,596,"$13,483.00",24
Jamie Lawson,595,"$14,219.00",335
Brad Williams,593,"$16,030.00",275
Children Of Bodom,593,"$17,448.00","497,354"
Pimps Of Joytime,593,"$12,585.00","497,354"
Rising Appalachia,593,"$15,314.00","497,354"
The Strumbellas,593,"$15,484.00",915
The Manhattan Transfer,592,"$33,006.00",258
Touché Amoré,592,"$11,761.00","497,354"
Haken,591,"$15,874.00",348
Supa Bwe,591,"$9,615.00",71
The Greyboy Allstars,591,"$16,412.00",200
Yuna,590,"$20,466.00","497,354"
Adam Conover,588,"$22,050.00",7
GZA,588,"$16,786.00",1
Isabella Rossellini,588,"$26,180.00",0
Phosphorescent,588,"$13,862.00",704
Summer Slaughter,588,"$10,492.00",2
Vivian Girls,588,"$14,885.00",138
Alma,587,"$13,865.00",131
Mark Knight,587,"$17,730.00",595
Power Trip,587,"$10,479.00","497,354"
Black Marble,586,"$7,790.00",209
John Maus,586,"$11,645.00",229
Sasha Sloan,586,"$11,569.00",361
ReBirth Brass Band,585,"$16,599.00","497,354"
Overkill,583,"$14,469.00","1,596"
AJ Croce,582,"$20,196.00",3
Lost Kings,582,"$11,759.00",472
Christone Kingfish Ingram,581,"$11,044.00","497,354"
Under The Streetlamp,581,"$30,652.00",43
(Sandy) Alex G,580,"$11,473.00","1,040"
Cancer Bats,580,"$12,516.00",336
Francis Ellis,580,"$14,736.00","497,354"
Stick To Your Guns,580,"$11,270.00","497,354"
Fortunate Youth,579,"$16,808.00","2,116"
Grandmaster Flash,579,"$12,353.00",589
Hyukoh,579,"$26,815.00",112
Jarryd James,579,"$19,991.00",255
Talib Kweli,579,"$15,839.00","2,923"
Blackmore's Night,578,"$23,799.00",153
Cautious Clay,578,"$11,680.00",288
Clean Bandit,578,"$22,604.00","5,016"
Junglepussy,578,"$8,932.00","497,354"
Lucy Spraggan,578,"$13,669.00",157
Maria Bamford,577,"$19,497.00",323
Najee,577,"$32,486.00","497,354"
The Wailers,577,"$15,529.00","1,582"
Toh Kay,577,"$15,753.00",274
Public Service Broadcasting,576,"$16,934.00",63
100 gecs,575,"$8,138.00","497,354"
Mick Jenkins,575,"$12,281.00","1,088"
Scott Stapp,575,"$18,990.00","1,049"
Danilo Perez,574,"$18,790.00",30
Life Of Agony,574,"$17,710.00","497,354"
Firefall,573,"$25,837.00",519
Guided By Voices,572,"$17,661.00",468
Here Come The Mummies,572,"$15,746.00","497,354"
Live From Laurel Canyon- Songs and Stories Of American Folk Rock,572,"$23,121.00","497,354"
Pussy Riot,572,"$15,083.00",215
Chad Daniels,571,"$13,423.00",285
La Dispute,571,"$14,200.00","4,617"
Souad Massi,570,"$12,837.00",19
Deerhunter,569,"$14,835.00","1,279"
Eaglemania - The World's Greatest Eagles Trib. Band,568,"$19,646.00","497,354"
Henry Rollins,568,"$19,925.00",706
Kenny Lattimore,568,"$21,315.00",510
The Bacon Brothers,568,"$28,476.00",202
The Bad Plus,568,"$17,478.00",147
AJ Tracey,567,"$12,680.00",47
Napalm Death,567,"$14,901.00","1,426"
Brother Ali,566,"$11,466.00",954
Inhaler,566,"$10,130.00",3
Ace Frehley,565,"$25,195.00","1,451"
Hirie,565,"$11,012.00","497,354"
Los Lonely Boys,565,"$25,277.00","1,145"
Svdden Death,565,"$11,289.00",210
Welcome To Night Vale,565,"$17,109.00",30
Muscadine Bloodline,564,"$9,268.00",432
Pop Evil,563,"$11,570.00","3,863"
Phoebe Bridgers,562,"$11,003.00",485
Rhiannon Giddens,562,"$22,451.00",316
Roy Wood Jr.,562,"$11,164.00",16
Tonight Alive,562,"$10,877.00","3,562"
Casanova,561,"$22,440.00",180
Emily Haines,560,"$17,428.00",73
GusGus,560,"$13,901.00",140
Madeleine Peyroux,560,"$32,713.00",740
We Banjo 3,560,"$17,167.00",78
Dragon Smoke,559,"$19,975.00",38
Living Colour,559,"$15,438.00","1,364"
Pegboard Nerds,559,"$11,520.00","1,458"
Leprous,558,"$11,711.00",256
Mount Kimbie,558,"$9,666.00",373
Sebastian Bach,558,"$17,068.00","2,375"
SuicideGirls,558,"$18,521.00",39
The Beaches,558,"$15,552.00",54
The Lawrence Arms,558,"$11,154.00",557
Clare Bowen,557,"$27,996.00",98
Asgeir,556,"$15,127.00","497,354"
Johnossi,556,"$17,578.00",22
J. Roddy Walston And The Business,555,"$12,840.00","497,354"
Eptic,554,"$11,316.00","497,354"
Marc Broussard,553,"$20,306.00","1,070"
Parmalee,553,"$12,944.00","2,767"
Saint Jhn,553,"$12,094.00","497,354"
Chris Fleming,552,"$17,542.00",28
Shannon And The Clams,552,"$11,252.00","497,354"
Anna Lunoe,551,"$11,658.00",340
Eric Benet,551,"$38,161.00",775
Luna,551,"$15,732.00",303
Ravyn Lenae,551,"$10,260.00",345
Ryan Hurd,551,"$9,010.00",345
The-Dream,551,"$15,272.00","2,777"
Turnover,551,"$14,835.00","2,711"
Bag Raiders,550,"$11,931.00",861
Gallant,550,"$15,000.00",853
John Mayall,550,"$22,532.00",323
Lyfe Jennings,550,"$26,507.00","2,852"
Moses Sumney,550,"$13,750.00",315
Neil Frances,550,"$8,250.00",19
Danny Duncan,549,"$23,603.00",92
Eve 6,549,"$13,752.00","2,319"
Aimee Mann,548,"$24,231.00",722
Drowning Pool,548,"$12,590.00","6,733"
Future Of The Left,548,"$21,117.00","497,354"
Superchunk,548,"$13,408.00",315
Hayden James,547,"$14,351.00",469
Wye Oak,547,"$11,264.00","497,354"
A-Trak,546,"$15,020.00","1,734"
Asaf Avidan,546,"$18,553.00",205
Chadwick Stokes,546,"$18,986.00",125
Kashmir - Led Zeppelin Trib.,546,"$17,854.00","497,354"
Keys N Krates,546,"$11,835.00","2,623"
Kikagaku Moyo,546,"$10,377.00",67
Al Stewart,545,"$24,692.00",335
Grandson,545,"$10,170.00",593
Justin Martin,545,"$13,294.00",370
Shiba San,545,"$11,536.00","497,354"
Typhoon,545,"$11,738.00",248
99 Neighbors,544,"$7,583.00",59
Anuhea,544,"$10,732.00",411
The Lox,544,"$16,885.00","497,354"
Big Bad Voodoo Daddy,543,"$23,198.00",969
Jim Messina,543,"$24,868.00",90
Jon B,543,"$22,429.00","497,354"
Chingy,542,"$19,044.00",911
David Nail,542,"$10,285.00","3,687"
Frankie Cosmos,542,"$9,180.00",627
Maysa,542,"$29,784.00",1
Melvins,542,"$12,217.00","1,566"
Cult Of Luna,541,"$14,116.00","497,354"
Jon Secada,541,"$41,458.00",455
Perry Farrell,541,"$42,569.00",620
Valerie June,541,"$14,716.00",384
Alice Smith,540,"$19,559.00",225
Chet Porter,540,"$7,700.00","497,354"
Marlon Williams,539,"$17,620.00",57
New Politics,539,"$10,673.00","3,352"
The Hodgetwins,539,"$18,230.00","497,354"
Converge,538,"$10,350.00","1,264"
Del McCoury,538,"$23,706.00",58
Myles Kennedy,538,"$12,587.00",704
Of Good Nature,538,"$12,670.00",204
Tremonti,538,"$13,629.00","1,052"
As It Is,537,"$10,749.00","1,378"
Of Mice & Men,537,"$16,665.00","14,838"
Wolf Parade,537,"$15,157.00",631
Crumb,536,"$9,882.00",429
Donavon Frankenreiter,536,"$14,216.00","1,516"
Jacob Whitesides,536,"$4,128.00","1,911"
070Shake,535,"$8,665.00","497,354"
Black Pumas,535,"$11,038.00",125
Cowboy Junkies,535,"$25,276.00",646
Hockey Dad,535,"$8,555.00",222
Real Estate,535,"$14,294.00","1,543"
The Lone Bellow,535,"$15,309.00",686
Yellow Days,535,"$12,821.00",733
Ookay,534,"$10,966.00","1,804"
Sleigh Bells,534,"$13,150.00","2,281"
Still Woozy,534,"$8,441.00",955
Joyce Manor,533,"$11,652.00","2,538"
The Devil Wears Prada,533,"$10,869.00","11,301"
Fortune Feimster,532,"$12,809.00","497,354"
Gabrielle Aplin,532,"$11,534.00","1,064"
Knocked Loose,532,"$11,188.00","1,577"
SayMyName,532,"$9,917.00",249
Cry Cry Cry,531,"$26,088.00",17
RJD2,531,"$13,801.00","1,449"
Rob Bell,531,"$19,076.00",6
Beach Bunny,530,"$7,858.00",456
The Wild Feathers,530,"$14,895.00",302
Dean Ween Group,529,"$13,346.00",13
Goth Babe,529,"$8,373.00",252
Hollywood Nights - Trib. To Bob Seger,529,"$13,665.00","497,354"
Jamestown Revival,529,"$10,557.00",343
Crystal Gayle,528,"$31,463.00",197
Dave Mason,528,"$28,714.00",934
Steve Earle,528,"$26,977.00","2,641"
Against The Grain,527,"$17,036.00",28
Circa Waves,527,"$10,555.00",368
Shame,527,"$8,182.00",57
The Aggrolites,527,"$10,474.00",422
Alpha Blondy,526,"$20,910.00",256
Damien Dempsey,526,"$14,773.00",34
Heather McDonald,526,"$21,116.00",8
Max Raabe & Palast Orchester,526,"$24,077.00",14
Tarrus Riley,526,"$15,892.00","1,321"
The Orange Constant,526,"$5,260.00",23
Who's Bad - The Ultimate Michael Jackson Tribute,526,"$13,984.00","497,354"
NoMBe,525,"$7,875.00",347
Remi,525,"$9,447.00","497,354"
Bun B,524,"$9,561.00","1,581"
Kevin Nealon,524,"$23,694.00",20
Kindred The Family Soul,524,"$29,674.00",213
Lisa Morales,524,"$20,072.00",3
The English Beat,524,"$16,482.00",776
The Temperance Movement,524,"$10,284.00",211
Durand Jones & The Indications,523,"$9,603.00",145
Remember Jones,523,"$13,084.00",24
Ria Mae,522,"$7,481.00",34
ATLiens,521,"$10,082.00",191
Hoodie Allen,521,"$15,583.00","5,058"
Candy Dulfer,520,"$21,041.00",247
Confidence Man,520,"$10,230.00",16
Newton Faulkner,520,"$19,981.00",212
Aaron West And The Roaring Twenties,519,"$10,764.00",551
Imagination Movers,519,"$19,092.00",275
Mosaic MSC,519,"$12,371.00",557
Hinder,518,"$11,598.00","7,269"
Hurray For The Riff Raff,518,"$12,931.00","497,354"
NSG,518,"$10,593.00",6
Brasstracks,517,"$10,059.00",206
Laura Benanti,517,"$30,556.00",42
Omar Apollo,517,"$9,921.00",673
In Hearts Wake,516,"$10,226.00",988
Jonathan Davis,516,"$15,311.00","1,072"
Tricky,516,"$14,300.00",552
Cory Wong,515,"$11,855.00",57
Euge Groove,515,"$19,326.00",417
Michael Ray,515,"$13,028.00","4,484"
Ratboys,515,"$7,725.00",88
Rynx,515,"$12,606.00",6
SoMo,515,"$11,749.00","5,492"
Taj Mahal,515,"$28,637.00",851
Young M.A.,515,"$11,076.00","497,354"
Felix Cavaliere's Rascals,514,"$30,994.00",49
Kevin Morby,514,"$10,213.00",186
Mariachi Reyna de Los Angeles,514,"$20,695.00",2
Planet Smashers,514,"$9,545.00","497,354"
Caspa,513,"$10,554.00",925
P.O.S.,513,"$8,905.00",407
Ash,512,"$14,966.00",191
B.J. Thomas,512,"$26,574.00",275
Jane Bunnett & Maqueque,512,"$17,398.00",1
The Pietasters,512,"$7,779.00",237
Nils Lofgren,511,"$29,354.00",138
Orange Goblin,511,"$13,998.00",406
White Reaper,511,"$11,093.00",293
AlunaGeorge,510,"$12,750.00","1,849"
Just Mustard,510,"$7,051.00",5
Protoje,510,"$13,235.00",560
Ryan Hamilton,510,"$14,408.00",6
Sam Gellaitry,510,"$12,666.00",320
Scars On Broadway,510,"$12,240.00",476
Washed Out,510,"$11,506.00","3,076"
Chase Atlantic,509,"$8,204.00","1,128"
Joey Purp,509,"$9,180.00",221
Bobby Collins,508,"$19,321.00",13
Glorietta,508,"$11,924.00",13
Rubblebucket,508,"$10,173.00",312
Zoë Keating,507,"$14,785.00",148
Hot Snakes,506,"$13,554.00",148
Tauk,506,"$8,775.00",539
Zach Heckendorf,506,"$10,504.00",46
Louie Anderson,505,"$24,382.00",9
Escort,504,"$8,969.00",68
Iron Maidens - All Female Trib. to Iron Maiden,504,"$11,231.00","497,354"
Moon Boots,504,"$10,702.00",268
Baker Boy,503,"$8,212.00",1
Dan Deacon,503,"$10,723.00",428
Five For Fighting,503,"$19,763.00","497,354"
Gone West,503,"$16,779.00",71
HRVY,503,"$13,955.00",541
Olivia O'Brien,503,"$9,535.00","1,262"
Skegss,503,"$10,327.00",161
Yvonne Orji,503,"$17,695.00",2
Antibalas,502,"$12,085.00",132
Mansionair,502,"$8,249.00",308
Desert Dwellers,501,"$11,352.00",456
Kokoroko,501,"$12,679.00","497,354"
Amtrac,500,"$20,000.00","497,354"
Aston Merrygold,500,"$12,257.00",22
Claude VonStroke,500,"$12,673.00",767
Colbie Caillat,500,"$27,500.00","10,071"
Desi Valentine,500,"$7,860.00",15
Fatoumata Diawara,500,"$10,820.00","497,354"
Ian Karmel,500,"$11,300.00",2
Kyle Mooney,500,"$10,000.00",5
Manwolves,500,"$5,134.00",93
Marbs,500,"$11,070.00",14
Meg & Dia,500,"$10,000.00",896
Porky,500,"$10,216.00",13
Prince Daddy And The Hyena,500,"$6,500.00",233
Teleman,500,"$9,902.00",35
The Manhattans Feat. Gerald Alston,500,"$24,750.00",2
The S.O.S. Band,500,"$29,750.00",185
Tonic Sol-fa,500,"$16,905.00","497,354"
Trophy Eyes,500,"$9,089.00",729
Zoso - The Ultimate Led Zeppelin Experience,500,"$9,400.00",459
Angie McMahon,499,"$8,113.00",27
Chapo Trap House,499,"$13,017.00",6
Thriftworks,499,"$10,683.00",372
JoJo,498,"$14,558.00","4,180"
L7,498,"$11,836.00",334
The Delta Saints,498,"$6,228.00",167
The Sherlocks,498,"$9,578.00",16
Uncle Kracker,498,"$11,534.00","4,410"
54-40,497,"$17,224.00","497,354"
JD McPherson,497,"$10,897.00","497,354"
Dave Hollister,496,"$21,140.00",218
Poolside,496,"$18,919.00",302
Trae Crowder,496,"$17,135.00",70
Windham Hill Winter Solstice,496,"$20,764.00","497,354"
Cherry Glazerr,495,"$8,110.00",564
Del & Dawg Feat. Del McCoury and David Grisman,495,"$23,794.00","497,354"
Saosin,495,"$15,624.00","4,404"
Battles,494,"$11,200.00",536
Bobby McFerrin,494,"$28,339.00",741
Classic Stones Live - Trib. To The Rolling Stones,494,"$13,836.00","497,354"
Lucky Daye,494,"$9,173.00",130
Morgan Heritage,494,"$14,386.00",585
Wage War,494,"$9,017.00","2,429"
Arsenio Hall,493,"$20,280.00",4
Kendall Street Company,493,"$6,238.00",38
Lauren Alaina,493,"$10,792.00","3,028"
Sixfoxwhiskey,493,"$7,709.00","497,354"
Charlotte Day Wilson,492,"$7,465.00",133
SWMRS,492,"$8,918.00",768
The Selecter,492,"$16,687.00","497,354"
The Trews,492,"$17,933.00",109
Two Feet,492,"$7,019.00","1,026"
Avi Kaplan,491,"$10,863.00",982
Karl Denson's Tiny Universe,491,"$22,423.00",528
Macy Gray,491,"$25,002.00","1,094"
Grizfolk,490,"$8,126.00",468
Lacey Sturm,490,"$9,940.00",352
Martin & Lewis Tribute Show,490,"$12,250.00","497,354"
Caveman,489,"$11,058.00",233
Daddy,489,"$5,733.00",59
Jackie Cohen,489,"$9,087.00","497,354"
Hari Kondabolu,488,"$13,114.00",13
Regina Carter,488,"$16,683.00",42
Sales,488,"$8,721.00","497,354"
Squnto,488,"$11,319.00",380
The Knocks,488,"$16,273.00",735
Dirtyphonics,487,"$7,577.00",931
Fantastic Negrito,487,"$12,050.00",247
Phil Vassar,487,"$23,233.00","1,035"
Big D & The Kids Table,486,"$7,864.00","497,354"
DakhaBrakha,486,"$18,965.00","497,354"
Freddy Todd,486,"$9,377.00",78
The Night Cafe,486,"$6,351.00",57
Vivian Green,486,"$22,617.00",361
Wild Nothing,486,"$11,788.00","1,145"
Adam Melchor,485,"$7,275.00",29
Jeff Rosenstock,485,"$7,794.00",766
Smooky MarGielaa,485,"$8,961.00",95
Stryper,485,"$16,257.00","1,342"
The Paper Kites,485,"$10,233.00","1,388"
White Denim,485,"$10,521.00",440
The Dramatics,484,"$22,853.00",130
Bat: Meat Loafs Neverland Band feat. Caleb Johnson,483,"$25,456.00","497,354"
Llama Llama Live,483,"$12,860.00","497,354"
Max Gomez,483,"$12,877.00",26
Skizzy Mars,483,"$10,250.00","1,353"
Northlane,482,"$9,962.00","497,354"
Tab Benoit,482,"$17,258.00","1,083"
Hamzaa,481,"$8,771.00",35
Troubadours: A Tribute to James Taylor & Carole King,481,"$15,711.00","497,354"
Angie Stone,480,"$24,909.00",417
Mayer Hawthorne,480,"$19,200.00","1,023"
Pinback,480,"$11,087.00","1,052"
Alice Merton,479,"$11,516.00",375
Christian Löffler,479,"$21,206.00",44
The Herd,479,"$17,862.00",15
Nick Lowe,478,"$18,625.00",342
The Album Leaf,478,"$15,014.00",598
Lawrence,477,"$9,218.00",184
The British Invasion Years,477,"$17,959.00",6
The Pump And Dump,477,"$15,348.00","497,354"
Mod Sun,476,"$9,101.00","1,655"
The Get Up Kids,476,"$12,405.00","1,112"
Wheeler Walker Jr.,476,"$8,939.00","497,354"
Yak,476,"$15,190.00","497,354"
Dijon,475,"$8,647.00",169
Jose James,475,"$12,368.00","497,354"
Liz Brasher,475,"$21,391.00",14
The Expendables,475,"$9,265.00","6,407"
Brian Kilmeade,474,"$19,250.00",2
Fishbone,474,"$12,997.00",782
Four Guitars,474,"$16,587.00","497,354"
Goldie,474,"$10,663.00",211
Howard Hewett,474,"$24,101.00",410
Mild High Club,474,"$8,408.00","497,354"
Sammie,474,"$12,645.00",498
Walker County,474,"$32,513.00",2
Band Of Skulls,473,"$10,918.00","497,354"
Intervals,473,"$13,497.00","1,100"
Opiuo,473,"$9,558.00",414
Pouya,473,"$12,182.00","1,685"
The Boxer Rebellion,473,"$11,209.00",559
Thelma Houston,473,"$18,909.00",104
Ruth B,472,"$12,826.00",399
Wavves,472,"$10,739.00","2,159"
Alan Doyle,471,"$15,727.00",29
God Is An Astronaut,471,"$11,561.00","497,354"
Logan Ledger,471,"$25,315.00",7
Perturbator,471,"$11,938.00",406
Porches,471,"$7,441.00",451
The Lil Smokies,471,"$10,017.00",46
W. Kamau Bell,471,"$12,292.00",15
Carly Pearce,470,"$9,397.00",675
Escape The Fate,470,"$13,567.00","497,354"
Nick Mulvey,470,"$10,733.00",114
Dr. Fresch,469,"$10,192.00",275
Hop Along,469,"$8,298.00",527
Jack Harlow,469,"$9,818.00",263
MC50,469,"$14,413.00","497,354"
Roosevelt,469,"$7,869.00",217
10 Years,468,"$9,296.00","3,624"
Brett Dennen,468,"$12,179.00","1,613"
EMO Night Brooklyn,468,"$6,247.00",488
Improvised Shakespeare Company,468,"$14,702.00","497,354"
Men I Trust,468,"$8,215.00",378
Devotchka,467,"$11,069.00",536
Mikey Lion,467,"$11,307.00",54
Belly,465,"$12,572.00","1,653"
The Driver Era,465,"$12,340.00",824
Everlast,464,"$11,934.00","2,322"
Gin Wigmore,464,"$9,809.00",746
Kottonmouth Kings,464,"$10,929.00","2,514"
Little Comets,464,"$9,841.00",315
Mark Chesnutt,464,"$16,390.00","1,793"
Minnesota,464,"$9,669.00",861
Sister Sparrow And The Dirty Birds,464,"$8,851.00","497,354"
This Will Destroy You,464,"$8,379.00",754
TJ Miller,464,"$14,780.00",11
Black Moth Super Rainbow,463,"$8,307.00",593
Meat Puppets,463,"$10,028.00",534
Hot 8 Brass Band,462,"$10,604.00",130
Jimmie Vaughan,462,"$20,142.00",627
Kiefer Sutherland,462,"$16,537.00",48
Renaissance,462,"$23,281.00",168
Shaed,462,"$8,107.00","497,354"
Super Diamond,462,"$10,998.00",14
The Murlocs,462,"$9,243.00",73
BoDeans,460,"$19,315.00",367
Boy Harsher,460,"$6,575.00",123
Cecile McLorin Salvant,460,"$19,253.00","497,354"
Fury,460,"$19,036.00",72
Ghostface Killah,460,"$12,461.00","2,203"
Benjamin Booker,459,"$18,777.00",544
RaeLynn,459,"$14,917.00","1,639"
Serena Ryder,459,"$12,255.00",301
Set It Off,459,"$8,687.00","4,339"
Alice Phoebe Lou,458,"$9,987.00",52
Dirty Projectors,458,"$14,048.00",798
HO99O9,458,"$9,771.00","497,354"
Julio Torres,457,"$8,647.00",3
Mustard Plug,457,"$5,973.00",870
Bob Schneider,455,"$15,827.00",0
Phil Campbell And The Bastard Sons,455,"$7,586.00","497,354"
Smallpools,455,"$8,942.00","1,950"
BJ The Chicago Kid,454,"$10,580.00","1,022"
Mark Farina,454,"$6,317.00",244
Princess,454,"$12,210.00",26
The Adicts,454,"$10,817.00",609
Classixx,453,"$8,373.00",424
CW Stoneking,453,"$11,133.00","497,354"
Early Eyes,453,"$6,072.00",75
Geoff Tate,453,"$14,841.00",109
La Santa Cecilia,453,"$11,588.00",140
The Cadillac Three,453,"$9,475.00","1,335"
Amp Live,452,"$10,986.00",148
Born Of Osiris,452,"$9,543.00","497,354"
Glades,452,"$8,093.00",182
Sister Hazel,452,"$13,342.00","3,349"
Tea Leaf Green,452,"$9,791.00",396
Crown The Empire,451,"$10,826.00","7,664"
David Keenan,451,"$9,897.00",12
Donnell Rawlings,451,"$13,290.00",8
Dorothy,451,"$9,013.00",602
Echosmith,451,"$11,431.00","5,304"
Ruston Kelly,451,"$7,454.00",95
The Milk Carton Kids,451,"$20,070.00",580
Upsahl,451,"$11,184.00","497,354"
Brubeck Brothers Quartet,450,"$22,149.00",12
Iann Dior,450,"$9,525.00",156
Jake Shimabukuro,450,"$19,082.00",570
Low,450,"$11,340.00",277
Mass Appeal,450,"$6,750.00",15
Octavian,450,"$5,710.00",40
Patrick Droney,450,"$3,800.00",44
After The Burial,449,"$9,444.00","497,354"
Fozzy,449,"$9,072.00","1,000"
Issues,449,"$10,273.00","6,908"
Joshua Radin,449,"$17,562.00","2,126"
The Anniversary,449,"$11,265.00",77
Bedouin Soundclash,448,"$7,599.00",298
Bombargo,448,"$9,842.00",14
Dan Tyminski,448,"$18,872.00",230
Madeintyo,448,"$10,236.00","2,497"
Sam Bush,448,"$15,396.00",458
The Magic Numbers,448,"$12,074.00",114
Counterparts,447,"$9,758.00","2,024"
Ed Harcourt,447,"$14,250.00",49
James TW,447,"$10,295.00",494
Mac Ayres,447,"$8,599.00",251
Seeyouspacecowboy,447,"$4,470.00",69
Aaron Neville,446,"$31,505.00",672
Drab Majesty,446,"$7,710.00",190
Mountain Man,446,"$10,677.00",169
